stock,date,average_sentiment_score,dominant_sentiment_average,bullish_articles,bearish_articles,neutral_articles,dominant_sentiment_majority,num_articles_fetched,return
BTC,2021-01-04,0.034791524,neutral,4,2,13,neutral,19,-0.0247120003603347
AAPL,2021-01-05,0.015512266,neutral,4,3,14,neutral,21,0.0123637554527695
MSFT,2021-01-05,0.03771279,neutral,7,2,8,neutral,17,0.0009646644072989
GOOGL,2021-01-05,0.057768158,bullish,7,0,14,neutral,21,0.0080643172261098
AMZN,2021-01-05,0.024794095,neutral,4,4,5,neutral,13,0.0100043583817541
NVDA,2021-01-05,0.070833333,bullish,2,1,1,bullish,4,0.0222100382846215
META,2021-01-05,0.014094618,neutral,7,4,11,neutral,22,0.0075482766437067
TSLA,2021-01-05,0.004930888,neutral,5,3,11,neutral,19,0.0073173689061312
BTC,2021-01-05,0.030278243,neutral,7,5,19,neutral,31,0.0631965800061333
AAPL,2021-01-06,0.02592249,neutral,5,4,12,neutral,21,-0.0336614771653376
MSFT,2021-01-06,0.019869652,neutral,3,0,14,neutral,17,-0.0259293396913889
GOOGL,2021-01-06,0.065277778,bullish,6,0,14,neutral,20,-0.0098677190027496
AMZN,2021-01-06,0.056685032,bullish,4,3,4,bullish,11,-0.0248966141477093
NVDA,2021-01-06,0.0,neutral,0,0,0,neutral,0,-0.0589529508464716
META,2021-01-06,0.004144708,neutral,6,4,13,neutral,23,-0.0282689551139654
TSLA,2021-01-06,-0.003693756,neutral,5,4,13,neutral,22,0.0283903022674965
BTC,2021-01-06,0.044023254,neutral,11,3,15,neutral,29,0.0833107141732614
AAPL,2021-01-07,0.070982143,bullish,7,3,6,bullish,16,0.0341233010534149
MSFT,2021-01-07,0.007575758,neutral,1,0,11,neutral,12,0.0284571103283561
GOOGL,2021-01-07,0.057958153,bullish,7,1,10,neutral,18,0.0298688512874609
AMZN,2021-01-07,-0.003516114,neutral,2,1,6,neutral,9,0.0075771277744003
NVDA,2021-01-07,0.0,neutral,0,0,1,neutral,1,0.0578301421950666
META,2021-01-07,-0.007507707,neutral,3,3,16,neutral,22,0.0206219486259247
TSLA,2021-01-07,-0.01020202,neutral,4,4,12,neutral,20,0.079446563608581
BTC,2021-01-07,0.04909416,neutral,11,1,17,neutral,29,0.0691574669750421
AAPL,2021-01-08,0.053661616,bullish,8,3,7,bullish,18,0.0086310237782261
MSFT,2021-01-08,0.026446281,neutral,3,2,6,neutral,11,0.0060927237755505
GOOGL,2021-01-08,0.033680556,neutral,4,1,11,neutral,16,0.013238635407375
AMZN,2021-01-08,0.018928571,neutral,3,1,8,neutral,12,0.0064955143746732
NVDA,2021-01-08,0.133333333,bullish,1,0,2,neutral,3,-0.0050396312901798
META,2021-01-08,0.02099361,neutral,3,1,17,neutral,21,-0.004353461247344
TSLA,2021-01-08,0.049033816,neutral,9,3,11,neutral,23,0.0784029947046744
BTC,2021-01-08,0.067962963,bullish,10,2,15,neutral,27,0.0362338992996023
AAPL,2021-01-11,0.039772727,neutral,2,0,2,bullish,4,-0.0232487173329516
MSFT,2021-01-11,0.040435606,neutral,2,0,9,neutral,11,-0.009698509619013
GOOGL,2021-01-11,-0.016437908,neutral,3,3,11,neutral,17,-0.023105697231497
AMZN,2021-01-11,0.071998557,bullish,3,0,5,neutral,8,-0.0215194622800055
NVDA,2021-01-11,0.04,neutral,0,0,1,neutral,1,0.0259664141373043
META,2021-01-11,0.02325528,neutral,4,2,16,neutral,22,-0.0401016375653466
TSLA,2021-01-11,0.065981977,bullish,5,0,9,neutral,14,-0.0782141172150082
BTC,2021-01-11,0.010577922,neutral,7,5,18,neutral,30,-0.072733159124491
AAPL,2021-01-12,0.031666667,neutral,4,0,6,neutral,10,-0.0013954953308981
MSFT,2021-01-12,0.034657964,neutral,2,0,10,neutral,12,-0.0117707566162194
GOOGL,2021-01-12,0.041580087,neutral,7,2,12,neutral,21,-0.010738593399909
AMZN,2021-01-12,0.096159812,bullish,4,0,4,bullish,8,0.002125797051401
NVDA,2021-01-12,0.134075448,bullish,4,0,3,bullish,7,-0.0100392229420063
META,2021-01-12,0.012193362,neutral,4,1,16,neutral,21,-0.0223875376583062
TSLA,2021-01-12,0.025652443,neutral,5,1,9,neutral,15,0.0471529479960064
BTC,2021-01-12,0.035420819,neutral,10,6,27,neutral,43,-0.0462145021715387
AAPL,2021-01-13,0.065675991,bullish,5,1,7,neutral,13,0.0162268378296805
MSFT,2021-01-13,0.044525947,neutral,2,1,6,neutral,9,0.0065603433042149
GOOGL,2021-01-13,0.058160487,bullish,8,1,14,neutral,23,0.0056521237485889
AMZN,2021-01-13,0.064182643,bullish,3,0,4,neutral,7,0.0144384068741727
NVDA,2021-01-13,0.080640693,bullish,5,1,4,bullish,10,0.0034853257836966
META,2021-01-13,0.019515265,neutral,4,2,13,neutral,19,0.0021904719958392
TSLA,2021-01-13,0.057575758,bullish,5,1,6,neutral,12,0.0058509508899942
BTC,2021-01-13,0.03150706,neutral,9,8,25,neutral,42,0.1000324955050955
AAPL,2021-01-14,0.091934046,bullish,8,1,8,bullish,17,-0.0151272811120352
MSFT,2021-01-14,0.00473064,neutral,2,2,6,neutral,10,-0.0153461189565557
GOOGL,2021-01-14,0.045006061,neutral,6,1,18,neutral,25,-0.0093461384270433
AMZN,2021-01-14,0.020707071,neutral,1,0,5,neutral,6,-0.0121355451731773
NVDA,2021-01-14,-0.033030303,bearish,1,1,2,neutral,4,-0.02449808512552
META,2021-01-14,0.044689598,neutral,7,2,14,neutral,23,-0.0238436075551098
TSLA,2021-01-14,0.124494949,bullish,7,2,5,bullish,14,-0.0110135231572978
BTC,2021-01-14,0.020508566,neutral,12,11,24,neutral,47,0.0501380301116258
AAPL,2021-01-15,0.105627706,bullish,12,0,9,bullish,21,-0.0137306486062646
MSFT,2021-01-15,-0.026111111,bearish,0,2,8,neutral,10,-0.001737010014411
GOOGL,2021-01-15,0.026111111,neutral,5,1,14,neutral,20,-0.0019065214375502
AMZN,2021-01-15,1.73e-18,neutral,0,1,7,neutral,8,-0.0074246001256428
NVDA,2021-01-15,0.0,neutral,0,0,4,neutral,4,-0.0258137119088494
META,2021-01-15,0.064461279,bullish,9,2,13,neutral,24,0.0232861478722767
TSLA,2021-01-15,0.118746286,bullish,7,1,9,neutral,17,-0.0222958544595338
BTC,2021-01-15,0.018610092,neutral,13,9,24,neutral,46,-0.0602735897167012
BTC,2021-01-18,0.026556437,neutral,6,5,16,neutral,27,0.0234357904285993
AAPL,2021-01-19,0.109029304,bullish,5,3,5,bullish,13,0.0054272261936063
MSFT,2021-01-19,0.026136364,neutral,2,1,5,neutral,8,0.017822638876527
GOOGL,2021-01-19,0.04487494,neutral,6,3,12,neutral,21,0.0329065922303719
AMZN,2021-01-19,0.143555687,bullish,5,0,6,neutral,11,0.0053185182942283
NVDA,2021-01-19,0.03030303,neutral,1,0,2,neutral,3,0.0128893421552238
META,2021-01-19,0.018458831,neutral,5,4,13,neutral,22,0.0387493523940427
TSLA,2021-01-19,0.110798898,bullish,6,1,4,bullish,11,0.0222596291834877
BTC,2021-01-19,0.008633609,neutral,5,4,24,neutral,33,-0.0152953425074746
AAPL,2021-01-20,0.103623599,bullish,5,1,7,neutral,13,0.032855995349355
MSFT,2021-01-20,-0.012037037,neutral,1,3,8,neutral,12,0.036499764935014
GOOGL,2021-01-20,0.081134396,bullish,8,2,12,neutral,22,0.053573227700721
AMZN,2021-01-20,0.101971243,bullish,6,0,8,neutral,14,0.0457004846223967
NVDA,2021-01-20,0.119155844,bullish,2,0,2,bullish,4,0.0261415863556417
META,2021-01-20,-0.004833333,neutral,3,4,13,neutral,20,0.0244350457482476
TSLA,2021-01-20,-0.001287157,neutral,4,3,8,neutral,15,0.0069859978679069
BTC,2021-01-20,0.028425974,neutral,8,4,23,neutral,35,-0.0144734547919778
AAPL,2021-01-21,0.100490878,bullish,9,1,4,bullish,14,0.0366586565481239
MSFT,2021-01-21,-0.01433725,neutral,2,3,9,neutral,14,0.002808208025667
GOOGL,2021-01-21,0.049773407,neutral,8,3,12,neutral,23,0.0021702047175133
AMZN,2021-01-21,0.022727273,neutral,2,0,6,neutral,8,0.0133634215506248
NVDA,2021-01-21,0.150880231,bullish,3,0,2,bullish,5,0.0375398994214826
META,2021-01-21,0.016552095,neutral,3,3,13,neutral,19,0.020150875595206
TSLA,2021-01-21,0.022482993,neutral,3,2,9,neutral,14,-0.0064201562634901
BTC,2021-01-21,0.053636364,bullish,6,2,17,neutral,25,-0.1328368400602007
AAPL,2021-01-22,0.054300357,bullish,6,2,9,neutral,17,0.0160733570260003
MSFT,2021-01-22,0.045439085,neutral,4,1,9,neutral,14,0.0043561141757866
GOOGL,2021-01-22,-0.014919865,neutral,6,7,12,neutral,25,0.0044634943367118
AMZN,2021-01-22,0.047222222,neutral,2,0,4,neutral,6,-0.0044633130451272
NVDA,2021-01-22,0.061447811,bullish,2,0,4,neutral,6,-0.0111772247653733
META,2021-01-22,0.067498364,bullish,8,1,14,neutral,23,0.0059736995555819
TSLA,2021-01-22,0.011168831,neutral,2,2,7,neutral,11,0.001952642514083
BTC,2021-01-22,0.008964646,neutral,4,2,18,neutral,24,0.0707222400546216
AAPL,2021-01-25,0.098701299,bullish,6,0,8,neutral,14,0.0276841115236432
MSFT,2021-01-25,0.012532468,neutral,1,1,8,neutral,10,0.0158442241837521
GOOGL,2021-01-25,-0.009175084,neutral,2,4,12,neutral,18,0.0009087833493994
AMZN,2021-01-25,0.003982684,neutral,3,1,3,bullish,7,0.0005376354551673
NVDA,2021-01-25,-0.013243547,neutral,1,2,3,neutral,6,-0.0043208858223823
META,2021-01-25,0.057388167,bullish,6,1,14,neutral,21,0.0127867724751991
TSLA,2021-01-25,0.070283447,bullish,5,2,7,neutral,14,0.0403478061146036
BTC,2021-01-25,0.014670868,neutral,6,4,7,neutral,17,0.0023851084933719
AAPL,2021-01-26,0.076467803,bullish,5,0,11,neutral,16,0.0016789945226369
MSFT,2021-01-26,0.037835498,neutral,4,0,11,neutral,15,0.0121987594367694
GOOGL,2021-01-26,0.008658009,neutral,3,3,17,neutral,23,0.0072165336837863
AMZN,2021-01-26,-0.069292929,bearish,2,1,3,neutral,6,0.0097541370821099
NVDA,2021-01-26,0.02021164,neutral,1,2,2,bearish,5,-0.0159667629933333
META,2021-01-26,0.088424619,bullish,9,2,12,neutral,23,0.0145317468057055
TSLA,2021-01-26,0.06962406,bullish,6,1,12,neutral,19,0.0025999188207492
BTC,2021-01-26,0.054878788,bullish,10,5,10,bullish,25,0.0062860583167834
AAPL,2021-01-27,0.089569816,bullish,6,0,11,neutral,17,-0.0076833019997514
MSFT,2021-01-27,-0.01490861,neutral,4,5,12,neutral,21,0.0024534395817825
GOOGL,2021-01-27,0.024003219,neutral,5,6,15,neutral,26,-0.0466521713969195
AMZN,2021-01-27,0.035606061,neutral,2,1,3,neutral,6,-0.0281258122831292
NVDA,2021-01-27,0.108658009,bullish,2,0,1,bullish,3,-0.0385180474712247
META,2021-01-27,0.059990303,bullish,9,2,14,neutral,25,-0.0351354935564002
TSLA,2021-01-27,0.046657754,neutral,4,2,11,neutral,17,-0.0214360847706407
BTC,2021-01-27,0.054177116,bullish,9,1,19,neutral,29,-0.0656221247567502
AAPL,2021-01-28,0.069699856,bullish,8,0,13,neutral,21,-0.0349856282419478
MSFT,2021-01-28,-0.016194535,neutral,5,4,7,neutral,16,0.0258910001169867
GOOGL,2021-01-28,0.035020576,neutral,9,7,11,neutral,27,0.0188352006659959
AMZN,2021-01-28,0.067121212,bullish,2,1,3,neutral,6,0.0015591193708615
NVDA,2021-01-28,0.018181818,neutral,1,0,2,neutral,3,0.0103151117234208
META,2021-01-28,0.043040929,neutral,6,2,14,neutral,22,-0.0262364737336395
TSLA,2021-01-28,0.036595118,neutral,5,3,4,bullish,12,-0.0332462401466606
BTC,2021-01-28,0.023321212,neutral,6,0,19,neutral,25,0.0996811339422276
AAPL,2021-01-29,0.077503987,bullish,8,0,11,neutral,19,-0.0374205108138111
MSFT,2021-01-29,0.071069882,bullish,7,0,7,bullish,14,-0.0291716231809275
GOOGL,2021-01-29,0.020559063,neutral,5,4,9,neutral,18,-0.0139435847362722
AMZN,2021-01-29,0.118333333,bullish,3,1,3,bullish,7,-0.0097046545146951
NVDA,2021-01-29,0.053030303,bullish,2,0,1,bullish,3,-0.0046932962235832
META,2021-01-29,0.052746212,bullish,6,2,16,neutral,24,-0.0251698288047964
TSLA,2021-01-29,0.039619529,neutral,4,1,10,neutral,15,-0.0501537349140389
BTC,2021-01-29,0.046782107,neutral,11,0,19,neutral,30,0.0254074756858064
AAPL,2021-02-01,0.011818182,neutral,1,0,4,neutral,5,0.0165201312130578
MSFT,2021-02-01,0.064274564,bullish,5,1,5,bullish,11,0.0331521765390303
GOOGL,2021-02-01,0.042256175,neutral,6,2,9,neutral,17,0.0359591835058603
AMZN,2021-02-01,0.097222222,bullish,2,0,4,neutral,6,0.0426299029247456
NVDA,2021-02-01,-0.046666667,bearish,0,1,2,neutral,3,0.0190344565861264
META,2021-02-01,0.068464052,bullish,6,1,10,neutral,17,0.0142453020932091
TSLA,2021-02-01,0.040391672,neutral,5,1,8,neutral,14,0.0583216728676345
BTC,2021-02-01,0.05668643,bullish,8,1,14,neutral,23,0.0127683704057766
AAPL,2021-02-02,0.069588745,bullish,5,0,9,neutral,14,0.0063366430721469
MSFT,2021-02-02,0.012805326,neutral,3,2,6,neutral,11,-0.0005840693648075
GOOGL,2021-02-02,0.04382716,neutral,3,3,12,neutral,18,0.0137606637580387
AMZN,2021-02-02,0.030371361,neutral,4,4,9,neutral,17,0.011104214562255
NVDA,2021-02-02,-0.002142857,neutral,1,1,5,neutral,7,0.0241558186599606
META,2021-02-02,0.063342844,bullish,8,3,11,neutral,22,0.019350342200842
TSLA,2021-02-02,0.059816587,bullish,7,2,10,neutral,19,0.0392707265317158
BTC,2021-02-02,0.045067921,neutral,10,4,15,neutral,29,0.0588336147957078
AAPL,2021-02-03,0.139987374,bullish,8,1,7,bullish,16,-0.0077781183903844
MSFT,2021-02-03,-0.043333333,bearish,0,2,7,neutral,9,0.0145714474212605
GOOGL,2021-02-03,0.073538012,bullish,5,2,12,neutral,19,0.0728249768168241
AMZN,2021-02-03,0.023978188,neutral,5,6,12,neutral,23,-0.0199615659093009
NVDA,2021-02-03,0.034780844,neutral,2,0,6,neutral,8,-0.0019362737094793
META,2021-02-03,0.072135642,bullish,9,1,8,bullish,18,-0.0016099334130347
TSLA,2021-02-03,0.075148148,bullish,5,2,8,neutral,15,-0.0207380653325632
BTC,2021-02-03,0.027610193,neutral,5,2,15,neutral,22,0.0552459817434074
AAPL,2021-02-04,0.108730159,bullish,6,1,7,neutral,14,0.0257573990445623
MSFT,2021-02-04,-0.012467532,neutral,4,3,7,neutral,14,-0.004074281350701
GOOGL,2021-02-04,0.053768939,bullish,6,2,14,neutral,22,-0.0025498464446633
AMZN,2021-02-04,0.06914903,bullish,5,2,14,neutral,21,0.0055758451473297
NVDA,2021-02-04,0.038311688,neutral,1,0,3,neutral,4,0.0098850029557988
META,2021-02-04,0.040899597,neutral,6,1,12,neutral,19,-0.0005999308160977
TSLA,2021-02-04,0.029171717,neutral,4,2,9,neutral,15,-0.0054991198109066
BTC,2021-02-04,0.000875152,neutral,6,4,15,neutral,25,-0.0145714701202092
AAPL,2021-02-05,0.061212121,bullish,3,0,8,neutral,11,-0.0030980362995663
MSFT,2021-02-05,0.006863636,neutral,5,2,8,neutral,15,0.0007852106954855
GOOGL,2021-02-05,0.026895833,neutral,5,4,11,neutral,20,0.0171403434645844
AMZN,2021-02-05,-0.008482644,neutral,2,3,7,neutral,12,0.0063494151774878
NVDA,2021-02-05,0.2344,bullish,2,0,1,bullish,3,-0.0053607214744355
META,2021-02-05,0.054516803,bullish,6,2,10,neutral,18,0.0060413042016342
TSLA,2021-02-05,0.052653991,bullish,6,3,8,neutral,17,0.0026353496607176
BTC,2021-02-05,0.011067449,neutral,7,3,21,neutral,31,0.0329913880914702
AAPL,2021-02-08,0.037261905,neutral,2,0,12,neutral,14,0.0010970976469371
MSFT,2021-02-08,0.066042291,bullish,5,0,8,neutral,13,0.0011148439137049
GOOGL,2021-02-08,0.088757631,bullish,5,0,8,neutral,13,-0.0020634298860161
AMZN,2021-02-08,0.140666667,bullish,2,1,2,bullish,5,-0.0087137807739665
NVDA,2021-02-08,0.137777778,bullish,2,0,1,bullish,3,0.0623758408213115
META,2021-02-08,0.068787879,bullish,5,2,11,neutral,18,-0.005669432881888
TSLA,2021-02-08,0.039178451,neutral,5,0,13,neutral,18,0.0131302972383458
BTC,2021-02-08,0.062179545,bullish,17,1,22,neutral,40,0.1874647376652993
AAPL,2021-02-09,0.043333333,neutral,5,0,19,neutral,24,-0.0065738909627997
MSFT,2021-02-09,0.022348485,neutral,3,0,11,neutral,14,0.0053613722863061
GOOGL,2021-02-09,-0.003343154,neutral,1,1,16,neutral,18,-0.0043798137581854
AMZN,2021-02-09,0.155887446,bullish,4,1,2,bullish,7,-0.0053988525624483
NVDA,2021-02-09,0.082666667,bullish,2,0,3,neutral,5,-0.0121547770566936
META,2021-02-09,0.041164021,neutral,4,1,16,neutral,21,0.0107660813794263
TSLA,2021-02-09,0.040918733,neutral,6,1,15,neutral,22,-0.0161683216431521
BTC,2021-02-09,0.058486364,bullish,13,2,25,neutral,40,0.0061615239599552
AAPL,2021-02-10,0.063207071,bullish,7,1,14,neutral,22,-0.0045583528688309
MSFT,2021-02-10,0.028682984,neutral,4,0,9,neutral,13,-0.0038970598567801
GOOGL,2021-02-10,0.048227273,neutral,4,1,15,neutral,20,0.0053435067751985
AMZN,2021-02-10,0.11975469,bullish,5,0,5,bullish,10,-0.0055734054403838
NVDA,2021-02-10,0.166666667,bullish,1,0,3,neutral,4,0.0351251890303414
META,2021-02-10,0.061552128,bullish,6,1,17,neutral,24,0.0089812805950699
TSLA,2021-02-10,0.04,neutral,5,2,10,neutral,17,-0.0525509443039983
BTC,2021-02-10,0.065504762,bullish,14,3,23,neutral,40,-0.0336248860529098
AAPL,2021-02-11,0.07632716,bullish,7,1,10,neutral,18,-0.0019205401014994
MSFT,2021-02-11,0.008461538,neutral,2,0,11,neutral,13,0.0068776109265293
GOOGL,2021-02-11,0.03092504,neutral,4,3,12,neutral,19,0.0010878879435782
AMZN,2021-02-11,0.071184464,bullish,4,1,7,neutral,12,-0.0074392739100781
NVDA,2021-02-11,0.133333333,bullish,1,0,4,neutral,5,0.0329511005070117
META,2021-02-11,-0.000370599,neutral,5,3,13,neutral,21,-0.0054437675667197
TSLA,2021-02-11,0.016069519,neutral,4,1,12,neutral,17,0.0084987898117356
BTC,2021-02-11,0.062165043,bullish,11,1,20,neutral,32,0.0665910372634968
AAPL,2021-02-12,0.031944444,neutral,5,2,7,neutral,14,0.0017761376307545
MSFT,2021-02-12,-0.0125,neutral,1,1,10,neutral,12,0.0020450639797562
GOOGL,2021-02-12,-0.011717172,neutral,2,4,9,neutral,15,0.0030066600500446
AMZN,2021-02-12,0.044352617,neutral,4,2,5,neutral,11,0.004775969497859
NVDA,2021-02-12,0.0625,bullish,1,0,3,neutral,4,-0.0189824704714444
META,2021-02-12,0.005927609,neutral,6,4,10,neutral,20,0.0004067332364725
TSLA,2021-02-12,0.021915519,neutral,4,2,9,neutral,15,0.0054949009034128
BTC,2021-02-12,0.068131313,bullish,12,0,18,neutral,30,-0.0084426238396763
BTC,2021-02-15,0.025979483,neutral,8,3,15,neutral,26,-0.0158512610945837
AAPL,2021-02-16,0.022643098,neutral,4,3,8,neutral,15,-0.0161040411395106
MSFT,2021-02-16,0.133443526,bullish,6,1,4,bullish,11,-0.0052656308131768
GOOGL,2021-02-16,0.048098545,neutral,6,2,13,neutral,21,0.0074796811437329
AMZN,2021-02-16,0.064458874,bullish,3,1,7,neutral,11,-0.0026726192693009
NVDA,2021-02-16,0.266666667,bullish,1,0,0,bullish,1,0.0246637748498335
META,2021-02-16,0.035904101,neutral,5,4,11,neutral,20,0.0128279524811625
TSLA,2021-02-16,0.065871351,bullish,5,1,7,neutral,13,-0.0243836608236717
BTC,2021-02-16,0.037593929,neutral,15,3,18,neutral,36,0.0261718837520321
AAPL,2021-02-17,0.052171717,bullish,5,3,6,neutral,14,-0.0176437410987272
MSFT,2021-02-17,0.054195804,bullish,4,4,5,neutral,13,0.0043595737964889
GOOGL,2021-02-17,0.065827561,bullish,9,4,17,neutral,30,0.0037522344100269
AMZN,2021-02-17,0.021456583,neutral,4,4,9,neutral,17,0.0121415891695946
NVDA,2021-02-17,-0.01,neutral,0,1,3,neutral,4,-0.0276741523140479
META,2021-02-17,0.067738095,bullish,4,1,11,neutral,16,-0.0014598662571974
TSLA,2021-02-17,0.096125541,bullish,6,0,9,neutral,15,0.0024238672272682
BTC,2021-02-17,0.012584338,neutral,12,4,21,neutral,37,0.0599419602773032
AAPL,2021-02-18,0.075208754,bullish,6,0,9,neutral,15,-0.0086365283980062
MSFT,2021-02-18,0.034840715,neutral,4,2,7,neutral,13,-0.0016787829694142
GOOGL,2021-02-18,0.076794795,bullish,12,2,15,neutral,29,-0.0060464332592645
AMZN,2021-02-18,0.002424242,neutral,2,3,6,neutral,11,0.0059208142742981
NVDA,2021-02-18,-0.01,neutral,0,1,3,neutral,4,-0.00516570789941
META,2021-02-18,0.112754614,bullish,9,0,10,neutral,19,-0.0152794514004064
TSLA,2021-02-18,0.039166667,neutral,3,2,7,neutral,12,-0.0134936910453242
BTC,2021-02-18,0.043122294,neutral,11,3,14,neutral,28,-0.0089975045965789
AAPL,2021-02-19,0.022106782,neutral,5,1,14,neutral,20,0.0012333288358197
MSFT,2021-02-19,-0.022720714,neutral,3,3,5,neutral,11,-0.0115675501074018
GOOGL,2021-02-19,0.107642332,bullish,11,0,11,bullish,22,-0.0080728464434183
AMZN,2021-02-19,0.064666667,bullish,1,0,4,neutral,5,-0.0235350557457474
NVDA,2021-02-19,0.0,neutral,0,0,1,neutral,1,0.0065749321243044
META,2021-02-19,0.094704872,bullish,9,0,12,neutral,21,-0.0290656577717431
TSLA,2021-02-19,0.015238095,neutral,2,2,3,neutral,7,-0.0077218335337335
BTC,2021-02-19,0.042694805,neutral,9,1,18,neutral,28,0.0814309690047518
AAPL,2021-02-22,0.01010101,neutral,2,2,5,neutral,9,-0.0297988388609028
MSFT,2021-02-22,0.03970844,neutral,4,2,7,neutral,13,-0.0268082892810568
GOOGL,2021-02-22,-0.013987241,neutral,3,3,13,neutral,19,-0.0165405160493791
AMZN,2021-02-22,0.021991342,neutral,2,1,0,bullish,3,-0.0212806096041119
NVDA,2021-02-22,0.0,neutral,0,0,3,neutral,3,-0.0382373832040295
META,2021-02-22,0.090127592,bullish,6,1,12,neutral,19,-0.0047026398942257
TSLA,2021-02-22,0.074660895,bullish,4,0,7,neutral,11,-0.0854984585555993
BTC,2021-02-22,0.073669766,bullish,10,2,15,neutral,27,-0.0579184596353103
AAPL,2021-02-23,0.062156863,bullish,7,2,8,neutral,17,-0.0011110618681338
MSFT,2021-02-23,0.069753086,bullish,4,0,11,neutral,15,-0.0052876352558535
GOOGL,2021-02-23,0.01536526,neutral,5,2,17,neutral,24,0.0028525803048133
AMZN,2021-02-23,0.036697588,neutral,1,0,6,neutral,7,0.0043260595267096
NVDA,2021-02-23,0.0775,bullish,2,0,4,neutral,6,-0.0148895233808726
META,2021-02-23,0.041972222,neutral,6,1,13,neutral,20,0.0212422148142317
TSLA,2021-02-23,0.06675359,bullish,6,2,7,neutral,15,-0.0219174294299173
BTC,2021-02-23,0.035553397,neutral,11,7,21,neutral,39,-0.0993019854185399
AAPL,2021-02-24,0.067442795,bullish,10,3,8,bullish,21,-0.0040521717813977
MSFT,2021-02-24,0.002272727,neutral,2,1,11,neutral,14,0.0054872337908762
GOOGL,2021-02-24,0.051669272,bullish,9,2,13,neutral,24,0.0114993299354853
AMZN,2021-02-24,0.019870581,neutral,1,1,6,neutral,8,-0.0109469686765182
NVDA,2021-02-24,0.0775,bullish,2,0,4,neutral,6,0.025243822077676
META,2021-02-24,0.031454294,neutral,6,1,16,neutral,23,-0.0058300075081684
TSLA,2021-02-24,0.094525935,bullish,7,2,7,bullish,16,0.0617880726639226
BTC,2021-02-24,0.028008918,neutral,10,7,20,neutral,37,0.0180423268866849
AAPL,2021-02-25,0.041300956,neutral,6,4,6,bullish,16,-0.034782729345567
MSFT,2021-02-25,0.056998557,bullish,3,0,9,neutral,12,-0.0237051236520031
GOOGL,2021-02-25,0.046329508,neutral,7,1,13,neutral,21,-0.0325653536050585
AMZN,2021-02-25,0.038377525,neutral,2,2,0,bullish,4,-0.0324003868195451
NVDA,2021-02-25,-0.045136054,bearish,1,3,3,bearish,7,-0.0821779338789077
META,2021-02-25,0.003333333,neutral,3,1,16,neutral,20,-0.0363966443021472
TSLA,2021-02-25,0.057494589,bullish,5,2,7,neutral,14,-0.0805908249604526
BTC,2021-02-25,0.061209802,bullish,10,3,15,neutral,28,-0.0525392420094518
AAPL,2021-02-26,0.012609983,neutral,3,5,5,bearish,13,0.0022317578196611
MSFT,2021-02-26,0.055992156,bullish,4,1,8,neutral,13,0.0148042601924367
GOOGL,2021-02-26,0.000865801,neutral,3,1,18,neutral,22,0.0029563942109125
AMZN,2021-02-26,0.062857143,bullish,2,1,4,neutral,7,0.0117003879732098
NVDA,2021-02-26,0.001931217,neutral,2,4,3,bearish,9,0.0305842541634935
META,2021-02-26,-0.013966862,neutral,1,3,15,neutral,19,0.0115040149214749
TSLA,2021-02-26,0.000688131,neutral,3,2,7,neutral,12,-0.0098501522110203
BTC,2021-02-26,0.084425991,bullish,8,2,16,neutral,26,-0.0160124903512981
AAPL,2021-03-01,0.064583333,bullish,3,0,13,neutral,16,0.0538510726234462
MSFT,2021-03-01,0.103661616,bullish,6,1,5,bullish,12,0.0196231349600786
GOOGL,2021-03-01,0.124195951,bullish,9,1,7,bullish,17,0.0236163541614673
AMZN,2021-03-01,0.073863636,bullish,2,1,3,neutral,6,0.0172037983947173
NVDA,2021-03-01,0.222222222,bullish,1,0,2,neutral,3,0.0092784655078781
META,2021-03-01,0.076706521,bullish,9,1,11,neutral,21,0.0282976519480728
TSLA,2021-03-01,-0.032098765,bearish,1,1,7,neutral,9,0.0635529114819255
BTC,2021-03-01,0.03631265,neutral,5,2,13,neutral,20,0.0995501705758645
AAPL,2021-03-02,0.03754386,neutral,3,1,15,neutral,19,-0.0208936366341683
MSFT,2021-03-02,0.035700758,neutral,6,2,8,neutral,16,-0.0129569226590805
GOOGL,2021-03-02,0.08647357,bullish,6,1,12,neutral,19,-0.0025028243253362
AMZN,2021-03-02,0.086761364,bullish,4,2,2,bullish,8,-0.0164042621050254
NVDA,2021-03-02,0.166666667,bullish,1,0,3,neutral,4,-0.0314627305224984
META,2021-03-02,0.063790702,bullish,6,4,13,neutral,23,-0.0223094712044051
TSLA,2021-03-02,0.051723485,bullish,3,0,9,neutral,12,-0.044527636486599
BTC,2021-03-02,0.022112795,neutral,5,4,14,neutral,23,-0.0252311618862803
AAPL,2021-03-03,-0.00532211,neutral,3,2,10,neutral,15,-0.0244565175045554
MSFT,2021-03-03,0.024307359,neutral,4,1,9,neutral,14,-0.0269808480283864
GOOGL,2021-03-03,-0.023143939,neutral,4,3,13,neutral,20,-0.0257062822256692
AMZN,2021-03-03,0.08165368,bullish,5,1,4,bullish,10,-0.0289317047982299
NVDA,2021-03-03,0.166666667,bullish,2,0,2,bullish,4,-0.0448670774293185
META,2021-03-03,0.066460524,bullish,7,4,10,neutral,21,-0.0138610079984708
TSLA,2021-03-03,0.009047348,neutral,3,2,5,neutral,10,-0.0484237582833956
BTC,2021-03-03,0.024797009,neutral,5,5,16,neutral,26,0.0446320599698619
